Month,Year,Fecha,3MonthSeller,CashSeller,
1,2014,02-ene-14,1.8030,1.7560,
1,2014,03-ene-14,1.7870,1.7390,
1,2014,06-ene-14,1.7620,1.7180,
1,2014,07-ene-14,1.7810,1.7330,
1,2014,08-ene-14,1.7830,1.7370,
1,2014,09-ene-14,1.7580,1.7130,
1,2014,10-ene-14,1.7610,1.7160,
1,2014,13-ene-14,1.7630,1.7160,
1,2014,14-ene-14,1.7710,1.7250,
1,2014,15-ene-14,1.7600,1.7150,
1,2014,16-ene-14,1.7960,1.7520,
1,2014,17-ene-14,1.8070,1.7660,
1,2014,20-ene-14,1.8130,1.7680,
1,2014,21-ene-14,1.7860,1.7430,
1,2014,22-ene-14,1.7890,1.7470,
1,2014,23-ene-14,1.7740,1.7320,
1,2014,24-ene-14,1.7700,1.7270,
1,2014,27-ene-14,1.7560,1.7110,
1,2014,28-ene-14,1.7570,1.7130,
1,2014,29-ene-14,1.7540,1.7100,
1,2014,30-ene-14,1.7300,1.6860,
1,2014,31-ene-14,1.7090,1.6640,
2,2014,03-feb-14,1.7020,1.6590,
2,2014,04-feb-14,1.6870,1.6420,
2,2014,05-feb-14,1.7080,1.6630,
2,2014,06-feb-14,1.6970,1.6550,
2,2014,07-feb-14,1.7190,1.6780,
2,2014,10-feb-14,1.7150,1.6720,
2,2014,11-feb-14,1.7140,1.6710,
2,2014,12-feb-14,1.7290,1.6860,
2,2014,13-feb-14,1.7310,1.6870,
2,2014,14-feb-14,1.7510,1.7110,
2,2014,17-feb-14,1.7460,1.7010,
2,2014,18-feb-14,1.7370,1.6940,
2,2014,19-feb-14,1.7710,1.7270,
2,2014,20-feb-14,1.7610,1.7180,
2,2014,21-feb-14,1.7780,1.7340,
2,2014,24-feb-14,1.7420,1.7000,
2,2014,25-feb-14,1.7550,1.7090,
2,2014,26-feb-14,1.7800,1.7350,
2,2014,27-feb-14,1.7600,1.7160,
2,2014,28-feb-14,1.7660,1.7240,
3,2014,03-mar-14,1.7230,1.6750,
3,2014,04-mar-14,1.7330,1.6870,
3,2014,05-mar-14,1.7860,1.7420,
3,2014,06-mar-14,1.7750,1.7320,
3,2014,07-mar-14,1.7710,1.7300,
3,2014,10-mar-14,1.7570,1.7150,
3,2014,11-mar-14,1.7890,1.7460,
3,2014,12-mar-14,1.7590,1.7170,
3,2014,13-mar-14,1.7460,1.7030,
3,2014,14-mar-14,1.7390,1.6980,
3,2014,17-mar-14,1.7280,1.6840,
3,2014,18-mar-14,1.7330,1.6910,
3,2014,19-mar-14,1.7160,1.6720,
3,2014,20-mar-14,1.7150,1.6740,
3,2014,21-mar-14,1.7190,1.6770,
3,2014,24-mar-14,1.7320,1.6890,
3,2014,25-mar-14,1.7600,1.7170,
3,2014,26-mar-14,1.7500,1.7060,
3,2014,27-mar-14,1.7260,1.6830,
3,2014,28-mar-14,1.7520,1.7100,
3,2014,31-mar-14,1.7740,1.7310,
4,2014,01-abr-14,1.7850,1.7440,
4,2014,02-abr-14,1.8170,1.7770,
4,2014,03-abr-14,1.8230,1.7830,
4,2014,04-abr-14,1.8450,1.8100,
4,2014,07-abr-14,1.8310,1.7940,
4,2014,08-abr-14,1.8160,1.7850,
4,2014,09-abr-14,1.8230,1.7920,
4,2014,10-abr-14,1.8830,1.8540,
4,2014,11-abr-14,1.8730,1.8410,
4,2014,14-abr-14,1.8720,1.8340,
4,2014,15-abr-14,1.8580,1.8170,
4,2014,16-abr-14,1.8680,1.8330,
4,2014,17-abr-14,1.8750,1.8370,
4,2014,22-abr-14,1.8860,1.8470,
4,2014,23-abr-14,1.8740,1.8360,
4,2014,24-abr-14,1.8780,1.8410,
4,2014,25-abr-14,1.8630,1.8240,
4,2014,28-abr-14,1.8410,1.8010,
4,2014,29-abr-14,1.8220,1.7800,
