Año,Mes,Fecha,LDPE,LLDPE,PP,PET,TiO2,Acetone,TitaniumDioxide,,,,
2013,12,46004,2.676,2.44,1.51,1.94,2.85,0.845,0,,,,
2013,12,46011,2.624,2.393,1.51,1.94,2.85,0.845,0,,,,
2013,12,46018,2.624,2.393,1.51,1.94,2.85,0,0,,,,
2014,1,45660,2.631,2.399,1.53,1.94,2.85,0.845,0,,,,
2014,1,45667,2.723,2.491,1.53,1.94,2.85,0.845,0,,,,
2014,1,45674,2.776,2.543,1.53,1.94,2.85,0.845,0,,,,
2014,1,45681,2.713,2.486,1.53,1.94,2.825,0.84,0,,,,
2014,1,45688,2.702,2.475,1.55,1.94,2.825,0.84,0,,,,
2014,2,45695,2.741,2.511,1.55,1.94,2.825,0.84,0,,,,
2014,2,45702,2.787,2.556,1.55,1.94,2.825,0.835,0,,,,
2014,2,45709,2.844,2.611,1.55,1.94,2.825,0.835,0,,,,
2014,2,45716,2.866,2.631,1.55,1.94,2.825,0.835,0,,,,
2014,3,45723,2.863,2.628,1.55,1.94,2.825,0.835,0,,,,
2014,3,45730,2.832,2.6,1.55,1.895,2.825,0.835,0,,,,
2014,3,45737,2.884,2.648,1.55,1.915,2.8,0.84,0,,,,
2014,3,45744,2.964,2.721,1.535,1.915,2.8,0.87,0,,,,
2014,4,45751,2.989,2.744,1.535,1.915,2.8,0.895,0,,,,
2014,4,45758,2.967,2.718,1.535,1.915,2.8,0.945,0,,,,
2014,4,45765,2.928,2.682,1.535,1.915,2.8,0.965,0,,,,
2014,4,45772,2.863,2.639,1.535,1.915,2.8,1,0,,,,
2014,5,45779,2.88,2.655,1.555,1.915,2.8,1,0,,,,
2014,5,45786,2.843,2.663,1.555,1.91,2.8,1,0,,,,
2014,5,45793,2.849,2.668,1.555,1.91,2.8,1,0,,,,
2014,5,45800,2.84,2.659,1.555,1.91,2.8,1,0,,,,
2014,5,45807,2.814,2.635,1.555,1.91,2.8,1,0,,,,
2014,6,45814,2.807,2.628,1.555,1.91,2.8,1,0,,,,
2014,6,45821,2.819,2.64,1.555,1.885,2.8,1,0,,,,
2014,6,45828,2.817,2.638,1.555,1.885,2.8,1,0,,,,
2014,6,45835,2.868,2.686,1.555,1.885,2.8,1,0,,,,
2014,7,45842,2.842,2.662,1.575,1.885,2.8,1.01,0,,,,
2014,7,45849,2.837,2.657,1.575,1.885,2.8,1.01,0,,,,
2014,7,45856,2.822,2.643,1.575,1.92,2.8,1.01,0,,,,
2014,7,45863,2.829,2.649,1.575,1.92,2.8,1.01,0,,,,
2014,8,45870,2.781,2.605,1.575,1.92,2.8,1.01,0,,,,
2014,8,45877,2.742,2.568,1.585,1.92,2.8,1,0,,,,
