Fecha,3 Month Seller,Cash Seller
02-ene-14,"1,803","1,756"
03-ene-14,"1,787","1,739"
06-ene-14,"1,762","1,718"
07-ene-14,"1,781","1,733"
08-ene-14,"1,783","1,737"
09-ene-14,"1,758","1,713"
10-ene-14,"1,761","1,716"
13-ene-14,"1,763","1,716"
14-ene-14,"1,771","1,725"
15-ene-14,"1,760","1,715"
16-ene-14,"1,796","1,752"
17-ene-14,"1,807","1,766"
20-ene-14,"1,813","1,768"
21-ene-14,"1,786","1,743"
22-ene-14,"1,789","1,747"
23-ene-14,"1,774","1,732"
24-ene-14,"1,770","1,727"
27-ene-14,"1,756","1,711"
28-ene-14,"1,757","1,713"
29-ene-14,"1,754","1,710"
30-ene-14,"1,730","1,686"
31-ene-14,"1,709","1,664"
03-feb-14,"1,702","1,659"
04-feb-14,"1,687","1,642"
05-feb-14,"1,708","1,663"
06-feb-14,"1,697","1,655"
07-feb-14,"1,719","1,678"
10-feb-14,"1,715","1,672"
11-feb-14,"1,714","1,671"
12-feb-14,"1,729","1,686"
13-feb-14,"1,731","1,687"
14-feb-14,"1,751","1,711"
17-feb-14,"1,746","1,701"
18-feb-14,"1,737","1,694"
19-feb-14,"1,771","1,727"
20-feb-14,"1,761","1,718"
21-feb-14,"1,778","1,734"
24-feb-14,"1,742","1,700"
25-feb-14,"1,755","1,709"
26-feb-14,"1,780","1,735"
27-feb-14,"1,760","1,716"
28-feb-14,"1,766","1,724"
03-mar-14,"1,723","1,675"
04-mar-14,"1,733","1,687"
05-mar-14,"1,786","1,742"
06-mar-14,"1,775","1,732"
07-mar-14,"1,771","1,730"
10-mar-14,"1,757","1,715"
11-mar-14,"1,789","1,746"
12-mar-14,"1,759","1,717"
13-mar-14,"1,746","1,703"
14-mar-14,"1,739","1,698"
17-mar-14,"1,728","1,684"
18-mar-14,"1,733","1,691"
19-mar-14,"1,716","1,672"
20-mar-14,"1,715","1,674"
21-mar-14,"1,719","1,677"
24-mar-14,"1,732","1,689"
25-mar-14,"1,760","1,717"
26-mar-14,"1,750","1,706"
27-mar-14,"1,726","1,683"
28-mar-14,"1,752","1,710"
31-mar-14,"1,774","1,731"
01-abr-14,"1,785","1,744"
02-abr-14,"1,817","1,777"
03-abr-14,"1,823","1,783"
04-abr-14,"1,845","1,810"
07-abr-14,"1,831","1,794"
