Año,Mes,Semana,Fecha,LDPE,LLDPE,HDPE,PP,PPBOPP,,
2013,12,50,46002,1.5650,1.4550,1.5100,1.7090,1.5450,,
2013,12,51,46009,0.0000,0.0000,0.0000,0.0000,1.5450,,
2013,12,52,46016,0.0000,0.0000,0.0000,0.0000,1.5450,,
2014,1,1,45658,0.0000,0.0000,0.0000,1.7090,1.5450,,
2014,1,2,45665,0.0000,0.0000,0.0000,1.7530,1.5400,,
2014,1,3,45672,1.5980,1.4990,0.0000,1.7970,1.5250,,
2014,1,4,45679,0.0000,0.0000,0.0000,1.7970,1.5050,,
2014,1,5,45686,1.5980,1.5540,0.0000,1.7970,1.5050,,
2014,2,6,45693,0.0000,0.0000,0.0000,1.7860,1.5050,,
2014,2,7,45700,1.6200,1.5650,0.0000,1.7640,1.5100,,
2014,2,8,45707,0.0000,0.0000,0.0000,1.7420,1.5050,,
2014,2,9,45714,1.6090,1.5540,0.0000,1.7200,1.4940,,
2014,3,10,45721,1.6200,1.5760,0.0000,1.7310,1.5000,,
2014,3,11,45728,0.0000,0.0000,0.0000,1.7200,1.4750,,
2014,3,12,45735,1.6200,1.5870,0.0000,1.7090,1.4850,,
2014,3,13,45742,0.0000,0.0000,0.0000,1.7090,1.4900,,
2014,4,14,45749,1.6090,1.5600,0.0000,1.7090,1.4950,,
2014,4,15,45756,0.0000,0.0000,0.0000,1.7090,1.5500,,
2014,4,16,45763,1.5980,1.5540,0.0000,1.6980,1.5150,,
2014,4,17,45770,0.0000,0.0000,0.0000,1.7200,1.5250,,
2014,4,18,45777,1.5870,1.5540,0.0000,1.7200,1.5250,,
2014,5,19,45784,1.6090,1.5760,0.0000,1.7090,1.5200,,
2014,5,20,45791,0.0000,0.0000,0.0000,1.7090,1.5200,,
2014,5,21,45798,1.6310,1.5870,0.0000,1.6980,1.5200,,
2014,5,22,45805,0.0000,0.0000,0.0000,1.6870,1.5200,,
2014,6,23,45812,1.6310,1.5980,0.0000,1.6650,1.5200,,
2014,6,24,45819,0.0000,0.0000,0.0000,1.6650,1.5200,,
2014,6,25,45826,1.6530,1.5870,0.0000,1.6310,1.5300,,
2014,6,26,45833,0.0000,0.0000,0.0000,1.6310,1.5300,,
2014,7,27,45840,1.6420,1.5760,0.0000,1.6310,1.5410,,
2014,7,28,45847,1.6750,1.5980,0.0000,1.6640,1.5410,,
2014,7,29,45854,1.6970,1.6310,0.0000,1.6750,1.5410,,
2014,7,30,45861,1.6970,1.6310,0.0000,1.7200,1.5400,,
2014,7,31,45868,1.6860,1.6640,0.0000,1.7420,1.5400,,
2014,8,32,45875,1.7200,1.6640,0.0000,1.7530,1.5400,,
2014,8,33,45882,1.7200,1.6860,0.0000,1.7530,1.5250,,
2014,8,34,45889,1.7310,1.6970,0.0000,1.7530,1.5250,,
2014,8,35,45896,1.7420,1.6860,0.0000,1.7640,1.5150,,
2014,9,36,45903,1.7750,1.6980,0.0000,1.7640,1.5150,,
2014,9,37,45910,1.7750,1.7090,0.0000,1.7640,1.5150,,
2014,9,38,45917,1.7750,1.7090,0.0000,1.7750,1.5100,,
2014,9,39,45924,1.7530,1.6980,0.0000,1.8300,1.5050,,
2014,10,40,45931,1.7640,1.6980,0.0000,1.8740,1.5050,,
2014,10,41,45938,1.7530,1.6980,0.0000,1.8300,1.5050,,
2014,10,42,45945,1.7310,1.6650,0.0000,1.8300,1.4800,,
2014,10,43,45952,1.7310,1.6540,0.0000,1.8300,1.4650,,
2014,10,44,45959,1.7200,1.6430,0.0000,1.8080,1.4650,,
2014,11,45,45966,1.6760,1.6430,0.0000,1.7750,1.4300,,
2014,11,46,45973,1.6760,1.6430,0.0000,1.7420,1.4150,,
2014,11,47,45980,1.6320,1.5990,0.0000,1.7200,1.3800,,
2014,11,48,45987,1.5650,1.5430,0.0000,1.6650,1.3500,,
2014,12,49,45994,1.5210,1.5210,0.0000,1.6430,1.2800,,
2014,12,50,46001,1.4730,1.4770,0.0000,1.5870,1.2050,,
2014,12,51,46008,1.4450,1.4440,1.4660,1.5430,1.1150,,
2014,12,52,46015,1.4450,1.4440,1.4660,1.5430,1.1150,,
2014,12,53,46022,1.4450,1.4440,1.4660,1.5430,1.1150,,
2015,1,2,45664,1.3780,1.3230,1.3010,1.4110,1.0600,,
2015,1,3,45671,1.3120,1.3120,1.2790,1.3670,1.0200,,
2015,1,4,45678,1.2900,1.2900,1.2460,1.3340,0.9900,,
2015,1,5,45685,1.2130,1.2130,1.1790,1.3560,0.9800,,
2015,2,6,45692,1.1680,1.2990,1.2460,1.3780,1.0100,,
